country,iso3,year,region,gdp_pc,gini,homicide_rate
Albania,ALB,1996,Europe,5293.9507,0.2701034247875213,8.380375
Albania,ALB,2002,Europe,7222.353,0.3173897862434387,6.891948
Albania,ALB,2005,Europe,8529.551,0.3059565424919128,5.006243
Albania,ALB,2008,Europe,10520.121,0.2998467087745666,3.1073225
Albania,ALB,2012,Europe,11859.09,0.2896048426628113,5.3951817
Albania,ALB,2014,Europe,12718.285,0.3459889590740204,4.614723
Albania,ALB,2015,Europe,13203.797,0.327537328004837,2.2079382
Albania,ALB,2016,Europe,13933.284,0.3373629748821258,2.7261436
Albania,ALB,2017,Europe,14614.531,0.3305566310882568,2.0012128
Albania,ALB,2018,Europe,15386.701,0.3014828264713287,2.2803986
Albania,ALB,2019,Europe,15948.279,0.301157683134079,2.2530255
Albania,ALB,2020,Europe,15659.589,0.2941963076591491,2.1239898
United Arab Emirates,ARE,2013,Asia,74237.22,0.3251042068004608,0.7277977
Armenia,ARM,1999,Asia,4406.9673,0.3621972501277923,2.8415496
Armenia,ARM,2001,Asia,5044.1167,0.3536435961723327,2.8531137
Armenia,ARM,2002,Asia,5731.3535,0.3477967381477356,2.2581267
Armenia,ARM,2004,Asia,7299.4,0.3750563263893127,2.746034
Armenia,ARM,2005,Asia,8362.9,0.3599235415458679,1.9292492
Armenia,ARM,2006,Asia,9525.231,0.2970998585224151,2.6418073
Armenia,ARM,2007,Asia,10898.849,0.3122605681419372,2.5883927
Armenia,ARM,2008,Asia,11727.482,0.2918814122676849,3.277038
Armenia,ARM,2009,Asia,10143.235,0.2801587879657745,3.2931406
Armenia,ARM,2010,Asia,10438.564,0.299925833940506,1.9105599
Armenia,ARM,2011,Asia,10990.177,0.2935294508934021,2.4287865
Armenia,ARM,2012,Asia,11796.274,0.2960226237773895,2.2241023
Armenia,ARM,2013,Asia,12194.019,0.3057966232299804,2.1556754
Armenia,ARM,2014,Asia,12667.376,0.3148328959941864,2.4637098
Armenia,ARM,2015,Asia,13112.76,0.3235677182674408,2.567458
Armenia,ARM,2016,Asia,13192.994,0.3254794776439667,2.9806848
Armenia,ARM,2017,Asia,14243.875,0.336218386888504,2.4014022
Armenia,ARM,2018,Asia,15037.045,0.344334989786148,1.7182341
Armenia,ARM,2019,Asia,16215.36,0.3003121316432953,2.5137987
Armenia,ARM,2020,Asia,15052.936,0.2513160407543182,2.5943546
Armenia,ARM,2021,Asia,15921.705,0.2794013023376465,3.1355078
Armenia,ARM,2022,Asia,17886.178,0.2794529497623443,2.7422228
Armenia,ARM,2023,Asia,19402.752,0.2715465128421783,2.2083356
Australia,AUS,1995,Oceania,38653.336,0.3257850110530853,1.9673568
Australia,AUS,2001,Oceania,45428.2,0.3346192836761474,1.7918525
Australia,AUS,2003,Oceania,47581.23,0.3349674940109253,1.5237553
Australia,AUS,2004,Oceania,49061.277,0.3305571973323822,1.3119382
Australia,AUS,2008,Oceania,52473.383,0.3542850911617279,1.2213047
Australia,AUS,2010,Oceania,52739.27,0.3465672731399536,1.043286
Australia,AUS,2014,Oceania,55489.07,0.3439816236495971,1.029853
Australia,AUS,2016,Oceania,56529.953,0.3368518650531769,0.9330059
Australia,AUS,2018,Oceania,57647.844,0.3433252573013305,0.8797874
Australia,AUS,2020,Oceania,57260.465,0.3382901847362518,0.8584594
Austria,AUT,1994,Europe,45497.137,0.308280199766159,1.10857
Austria,AUT,1995,Europe,46639.53,0.2991432845592499,0.9810924
Austria,AUT,1996,Europe,47608.633,0.2931780815124511,1.2435757
Austria,AUT,1997,Europe,48575.16,0.2906536757946014,0.82812583
Austria,AUT,1998,Europe,50216.7,0.3134077191352844,0.96509784
Austria,AUT,1999,Europe,52004.53,0.2967053949832916,0.75057304
Austria,AUT,2000,Europe,53534.344,0.2896469235420227,1.0233463
Austria,AUT,2003,Europe,54919.79,0.2946562767028808,0.6155663
Austria,AUT,2004,Europe,55980.23,0.2978884577751159,0.7218458
Austria,AUT,2005,Europe,56890.28,0.2871520817279815,0.6561995
Austria,AUT,2006,Europe,58460.24,0.295875608921051,0.73761487
Austria,AUT,2007,Europe,60470.91,0.3057945072650909,0.5423679
Austria,AUT,2008,Europe,61157.99,0.3043709397315979,0.69684297
Austria,AUT,2009,Europe,58810.44,0.3149490654468536,0.6111396
Austria,AUT,2010,Europe,59730.55,0.3025166392326355,0.7292209
Austria,AUT,2011,Europe,61272.258,0.3080105781555176,0.9174017
Austria,AUT,2012,Europe,61376.723,0.3047561645507812,0.96067166
Austria,AUT,2013,Europe,60863.055,0.3075290620326996,0.71922034
Austria,AUT,2014,Europe,60845.66,0.3053537309169769,0.49135348
Austria,AUT,2015,Europe,60951.688,0.3053083121776581,0.50902134
Austria,AUT,2016,Europe,61572.71,0.3079513907432556,0.61799634
