Entity,Code,Year,Gini coefficient,World region according to OWID
Albania,ALB,1996,0.27010342478752136,Europe
Albania,ALB,2002,0.3173897862434387,Europe
Albania,ALB,2005,0.30595654249191284,Europe
Albania,ALB,2008,0.29984670877456665,Europe
Albania,ALB,2012,0.2896048426628113,Europe
Albania,ALB,2014,0.3459889590740204,Europe
Albania,ALB,2015,0.32753732800483704,Europe
Albania,ALB,2016,0.33736297488212585,Europe
Albania,ALB,2017,0.33055663108825684,Europe
Albania,ALB,2018,0.30148282647132874,Europe
Albania,ALB,2019,0.301157683134079,Europe
Albania,ALB,2020,0.29419630765914917,Europe
Algeria,DZA,1988,0.37356993556022644,Africa
Algeria,DZA,1995,0.353300541639328,Africa
Algeria,DZA,2011,0.27615731954574585,Africa
Angola,AGO,2000,0.5194514989852905,Africa
Angola,AGO,2008,0.42715513706207275,Africa
Angola,AGO,2018,0.5126428604125977,Africa
Argentina (urban),,1980,0.40830859541893005,
Argentina (urban),,1986,0.427975058555603,
Argentina (urban),,1987,0.45267289876937866,
Argentina (urban),,1991,0.46754273772239685,
Argentina (urban),,1992,0.4545484185218811,
Argentina (urban),,1993,0.44843095541000366,
Argentina (urban),,1994,0.45898041129112244,
Argentina (urban),,1995,0.4887809753417969,
Argentina (urban),,1996,0.49490517377853394,
Argentina (urban),,1997,0.490852415561676,
Argentina (urban),,1998,0.507127046585083,
Argentina (urban),,1999,0.4976562261581421,
Argentina (urban),,2000,0.5103796124458313,
Argentina (urban),,2001,0.5329303741455078,
Argentina (urban),,2002,0.5375955104827881,
Argentina (urban),,2003,0.5099445581436157,
Argentina (urban),,2004,0.48483532667160034,
Argentina (urban),,2005,0.4781028628349304,
Argentina (urban),,2006,0.46444496512413025,
Argentina (urban),,2007,0.46282586455345154,
Argentina (urban),,2008,0.4498676359653473,
Argentina (urban),,2009,0.4375893771648407,
Argentina (urban),,2010,0.43676555156707764,
Argentina (urban),,2011,0.42737919092178345,
Argentina (urban),,2012,0.41437363624572754,
Argentina (urban),,2013,0.41086459159851074,
Argentina (urban),,2014,0.41822484135627747,
Argentina (urban),,2016,0.4234500825405121,
Argentina (urban),,2017,0.41434797644615173,
Argentina (urban),,2018,0.41718968749046326,
Argentina (urban),,2019,0.4331413507461548,
Argentina (urban),,2020,0.42743685841560364,
Argentina (urban),,2021,0.4244556128978729,
Argentina (urban),,2022,0.4073646068572998,
Argentina (urban),,2023,0.4239097535610199,
Argentina (urban),,2024,0.423533171415329,
Armenia,ARM,1999,0.36219725012779236,Asia
Armenia,ARM,2001,0.35364359617233276,Asia
Armenia,ARM,2002,0.3477967381477356,Asia
Armenia,ARM,2003,0.3302808701992035,Asia
Armenia,ARM,2004,0.37505632638931274,Asia
Armenia,ARM,2005,0.3599235415458679,Asia
Armenia,ARM,2006,0.29709985852241516,Asia
Armenia,ARM,2007,0.31226056814193726,Asia
Armenia,ARM,2008,0.29188141226768494,Asia
Armenia,ARM,2009,0.28015878796577454,Asia
Armenia,ARM,2010,0.299925833940506,Asia
Armenia,ARM,2011,0.2935294508934021,Asia
Armenia,ARM,2012,0.2960226237773895,Asia
Armenia,ARM,2013,0.30579662322998047,Asia
Armenia,ARM,2014,0.3148328959941864,Asia
Armenia,ARM,2015,0.3235677182674408,Asia
Armenia,ARM,2016,0.3254794776439667,Asia
Armenia,ARM,2017,0.33621838688850403,Asia
Armenia,ARM,2018,0.34433498978614807,Asia
Armenia,ARM,2019,0.3003121316432953,Asia
Armenia,ARM,2020,0.25131604075431824,Asia
Armenia,ARM,2021,0.2794013023376465,Asia
Armenia,ARM,2022,0.27945294976234436,Asia
Armenia,ARM,2023,0.27154651284217834,Asia
Australia,AUS,1981,0.3132469356060028,Oceania
Australia,AUS,1985,0.3249635100364685,Oceania
Australia,AUS,1989,0.33151867985725403,Oceania
Australia,AUS,1995,0.3257850110530853,Oceania
Australia,AUS,2001,0.33461928367614746,Oceania
Australia,AUS,2003,0.3349674940109253,Oceania
Australia,AUS,2004,0.3305571973323822,Oceania
Australia,AUS,2008,0.3542850911617279,Oceania
Australia,AUS,2010,0.3465672731399536,Oceania
Australia,AUS,2014,0.34398162364959717,Oceania
Australia,AUS,2016,0.3368518650531769,Oceania
Australia,AUS,2018,0.34332525730133057,Oceania
Australia,AUS,2020,0.33829018473625183,Oceania
Austria,AUT,1994,0.30828019976615906,Europe
Austria,AUT,1995,0.2991432845592499,Europe
Austria,AUT,1996,0.29317808151245117,Europe
Austria,AUT,1997,0.29065367579460144,Europe
Austria,AUT,1998,0.3134077191352844,Europe
Austria,AUT,1999,0.2967053949832916,Europe
Austria,AUT,2000,0.2896469235420227,Europe
Austria,AUT,2003,0.29465627670288086,Europe
Austria,AUT,2004,0.29788845777511597,Europe
Austria,AUT,2005,0.28715208172798157,Europe
Austria,AUT,2006,0.295875608921051,Europe
Austria,AUT,2007,0.30579450726509094,Europe
Austria,AUT,2008,0.3043709397315979,Europe
Austria,AUT,2009,0.31494906544685364,Europe
Austria,AUT,2010,0.3025166392326355,Europe
Austria,AUT,2011,0.3080105781555176,Europe
Austria,AUT,2012,0.30475616455078125,Europe
Austria,AUT,2013,0.3075290620326996,Europe
Austria,AUT,2014,0.30535373091697693,Europe
Austria,AUT,2015,0.3053083121776581,Europe
Austria,AUT,2016,0.3079513907432556,Europe
Austria,AUT,2017,0.2973693013191223,Europe
Austria,AUT,2018,0.30847421288490295,Europe
Austria,AUT,2019,0.3021051585674286,Europe
Austria,AUT,2020,0.29800698161125183,Europe
Austria,AUT,2021,0.3070168197154999,Europe
Austria,AUT,2022,0.30892929434776306,Europe
Austria,AUT,2023,0.3120467960834503,Europe
Azerbaijan,AZE,1995,0.34648823738098145,Asia
Azerbaijan,AZE,2001,0.3645493686199188,Asia
Azerbaijan,AZE,2002,0.2527766525745392,Asia
Azerbaijan,AZE,2003,0.26832878589630127,Asia
Azerbaijan,AZE,2004,0.2662159204483032,Asia
Azerbaijan,AZE,2005,0.26554906368255615,Asia
Bangladesh,BGD,1983,0.2587648928165436,Asia
Bangladesh,BGD,1985,0.2691749632358551,Asia
Bangladesh,BGD,1988,0.2884654700756073,Asia
Bangladesh,BGD,1991,0.27570804953575134,Asia
Bangladesh,BGD,1995,0.32942983508110046,Asia
Bangladesh,BGD,2000,0.334065318107605,Asia
Bangladesh,BGD,2005,0.33201292157173157,Asia
Bangladesh,BGD,2010,0.32130318880081177,Asia
Bangladesh,BGD,2016,0.3238527178764343,Asia
Bangladesh,BGD,2022,0.30930253863334656,Asia
Barbados,BRB,2016,0.3406803607940674,North America
Belarus,BLR,1998,0.32018348574638367,Europe
Belarus,BLR,1999,0.31738147139549255,Europe
Belarus,BLR,2000,0.3116748332977295,Europe
Belarus,BLR,2001,0.3057672381401062,Europe
Belarus,BLR,2002,0.3033624291419983,Europe
Belarus,BLR,2003,0.2882101237773895,Europe
Belarus,BLR,2004,0.2647988498210907,Europe
Belarus,BLR,2005,0.27553409337997437,Europe
Belarus,BLR,2006,0.28275442123413086,Europe
Belarus,BLR,2007,0.29612380266189575,Europe
Belarus,BLR,2008,0.2782604396343231,Europe
Belarus,BLR,2009,0.2768930494785309,Europe
Belarus,BLR,2010,0.28566598892211914,Europe
Belarus,BLR,2011,0.271525502204895,Europe
Belarus,BLR,2012,0.2652619779109955,Europe
Belarus,BLR,2013,0.265750527381897,Europe
Belarus,BLR,2014,0.27176666259765625,Europe
Belarus,BLR,2015,0.25633224844932556,Europe
